"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000008226",1074.54744234965,-0.0392606678410214,0.209734996254352,-0.187191782688516,0.85151026742827,0.99973703262644
"ENSG00000008256",8287.04174796234,0.228494384013898,0.210437271009981,1.08580758017462,0.277564132053195,0.99973703262644
"ENSG00000008277",587.397287887052,-0.161450255015402,0.198805638655844,-0.812100985198371,0.416733687923531,0.99973703262644
"ENSG00000008282",27435.3668949581,-0.210736735777251,0.244251461938693,-0.86278597517728,0.388255151587157,0.99973703262644
"ENSG00000008283",3651.71934881898,0.173098973985911,0.200595537243345,0.862925349011743,0.388178512403655,0.99973703262644
"ENSG00000008294",25352.6770331087,0.114007068289432,0.109061088813745,1.04535054187964,0.295860986236405,0.99973703262644
"ENSG00000008300",153.850524063796,0.555827036907927,0.224033208541353,2.48100288580802,0.0131013312395278,0.969097381566205
"ENSG00000008311",4162.10133398293,-0.000530134907487705,0.0982544676266879,-0.00539552979414556,0.995695010967531,0.99973703262644
"ENSG00000008323",164.260504999467,-0.11743291915732,0.216862968780914,-0.54150747735985,0.588157845190409,0.99973703262644
"ENSG00000008324",1070.57206151169,0.301088198244068,0.144918891488164,2.07763249602733,0.0377432207794551,0.99973703262644
"ENSG00000008382",78.6528566393761,-0.0105316639900326,0.331447462883557,-0.0317747612197972,0.974651674099356,0.99973703262644
"ENSG00000008394",37701.8971102866,0.0179008985878426,0.298631906753233,0.0599430207658104,0.952201015861055,0.99973703262644
"ENSG00000008405",3900.75221037818,-0.0318572067677431,0.138134837554132,-0.23062398546101,0.817606932162569,0.99973703262644
"ENSG00000008441",16815.6338728212,0.0321004384569201,0.157820286107705,0.203398683709223,0.838823428555322,0.99973703262644
"ENSG00000008513",8283.83918573771,-0.00520876363133925,0.210943901117888,-0.0246926486318668,0.980300118836211,0.99973703262644
"ENSG00000008516",39.5295727279433,-0.0286151808713754,0.263804016006982,-0.108471361825735,0.913621796405135,0.99973703262644
"ENSG00000008517",450.865200883244,-0.0689648108718664,0.550825649295259,-0.125202613495036,0.90036314825767,0.99973703262644
"ENSG00000008710",1889.33424350663,-0.0440871928311698,0.208967741394159,-0.210976069976331,0.832905944465874,0.99973703262644
"ENSG00000008838",1760.96933891955,-0.242372191345736,0.123630475216108,-1.96045668288556,0.0499424362222463,0.99973703262644
"ENSG00000008853",1921.21144498348,0.0439334269242524,0.0937242133711517,0.468752154262146,0.639246803017729,0.99973703262644
"ENSG00000008869",7230.6540305996,0.0682395084231126,0.0815185914921662,0.837103624756205,0.402534323109302,0.99973703262644
"ENSG00000008952",40342.8967330643,0.096512674706983,0.138710980220831,0.695782515222172,0.486565040752491,0.99973703262644
